CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Gateway Newstand,140 Broadway,Lobby,New York,NY,10005,48-1,Personal and Professional Services,P-Newsstands,MANHATTAN,40.709043,-74.010626,1,1,7,1001027,1000480001,Battery Park City-Lower Manhattan                                          
American Express Travel Service,111 Broadway,,New York,NY,10006,49-2,Personal and Professional Services,P-Travel Agency,MANHATTAN,40.708486,-74.011113,1,1,13,1001029,1000490002,Battery Park City-Lower Manhattan                                          
Suspenders Restaurant,111 Broadway,,New York,NY,10006,49-2,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.708486,-74.011113,1,1,13,1001029,1000490002,Battery Park City-Lower Manhattan                                          
John Allan's Men's Club,95 Trinity Place,,New York,NY,10006,49-2,Personal and Professional Services,P-Spa,MANHATTAN,40.708807,-74.012256,1,1,13,1001029,1000490002,Battery Park City-Lower Manhattan                                          
Subway,111 Broadway,,New York,NY,10006,49-2,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.708486,-74.011113,1,1,13,1001029,1000490002,Battery Park City-Lower Manhattan                                          
Panini & Company,115 Broadway,,New York,NY,10006,50-1,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.708631,-74.010997,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Men's Wearhouse,115 Broadway,,New York,NY,10006,50-1,Shopping,S-Apparel: Men's,MANHATTAN,40.708631,-74.010997,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Big Apple Copy,115 Broadway,Lower Level,New York,NY,10006,50-1,Personal and Professional Services,P-Copy and Printing Services,MANHATTAN,40.708631,-74.010997,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,115 Broadway,,New York,NY,10006,50-1,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.708631,-74.010997,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Stanley's Cobbler Shop,11 Thames Street,,New York,NY,10006,50-1,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.709013,-74.011921,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Big Al's Pizza,9 Thames Street,,New York,NY,10006,50-1,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.708947,-74.011769,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Trinity Place,115 Broadway,,New York,NY,10006,50-1,Full Service Dining,F-American,MANHATTAN,40.708631,-74.010997,1,1,13,1001030,1000500001,Battery Park City-Lower Manhattan                                          
Ketki Lobby Shop,2 Rector Street,Lobby,New York,NY,10006,51-1,Personal and Professional Services,P-Newsstands,MANHATTAN,40.707808,-74.013053,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
Greenwich Jewelers,64 Trinity Place,,New York,NY,10006,51-1,Shopping,S-Jeweler,MANHATTAN,40.708173,-74.012707,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
One Way Gift Shop,66 Trinity Place,,New York,NY,10006,51-1,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.708217,-74.012678,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
Masterpiece Pizza,2 Rector Street,,New York,NY,10006,51-1,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.707808,-74.013053,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
Variety Market,2 Rector Street,,New York,NY,10006,51-1,Casual Eating & Takeout,F-Deli,MANHATTAN,40.707808,-74.013053,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
City Blossoms,62 Trinity Place,,New York,NY,10006,51-1,Shopping,S-Florist,MANHATTAN,40.708131,-74.012736,1,1,13,1001031,1000510001,Battery Park City-Lower Manhattan                                          
Steven Brown Caterers,74 Trinity Place,2nd Floor,New York,NY,10006,51-17,Casual Eating & Takeout,F-Catering,MANHATTAN,40.708387,-74.012563,1,1,13,1001036,1000510007,Battery Park City-Lower Manhattan                                          
Manon Cafe,74 Trinity Place,,New York,NY,10006,51-17,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.708387,-74.012563,1,1,13,1001036,1000510007,Battery Park City-Lower Manhattan                                          
World Trade Art Gallery,74 Trinity Place,,New York,NY,10006,51-17,Shopping,"S-Framing, Posters & Art Supplies",MANHATTAN,40.708387,-74.012563,1,1,13,1001036,1000510007,Battery Park City-Lower Manhattan                                          
Stapleton Shoe Company,68 Trinity Place,,New York,NY,10006,51-7,Shopping,S-Shoes: Men's,MANHATTAN,40.708258,-74.012649,1,1,13,1001032,1000510007,Battery Park City-Lower Manhattan                                          
O'Hara's Restaurant,120 Cedar Street,,New York,NY,10006,52-10,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.709644,-74.012711,1,1,13,1001038,1000520010,Battery Park City-Lower Manhattan                                          
Ruchi,120 Cedar Street,,New York,NY,10006,52-10,Full Service Dining,F-Indian,MANHATTAN,40.709644,-74.012711,1,1,13,1001038,1000520010,Battery Park City-Lower Manhattan                                          
Steve's Pizza,110 Trinity Place,,New York,NY,10006,52-15,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.709501,-74.011813,1,1,13,1001039,1000520015,Battery Park City-Lower Manhattan                                          
J Spa Nails,110 Trinity Place,2nd Floor,New York,NY,10006,52-15,Personal and Professional Services,P-Nail Salon,MANHATTAN,40.709501,-74.011813,1,1,13,1001039,1000520015,Battery Park City-Lower Manhattan                                          
Charly's,110 Trinity Place,,New York,NY,10006,52-15,Casual Eating & Takeout,F-American,MANHATTAN,40.709501,-74.011813,1,1,13,1001039,1000520015,Battery Park City-Lower Manhattan                                          
NY Souvenir,114 Liberty Street,,New York,NY,10006,52-25,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.709938,-74.012235,1,1,13,1001041,1000527502,Battery Park City-Lower Manhattan                                          
Pronto Pizza,114 Liberty Street,,New York,NY,10006,52-25,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.709938,-74.012235,1,1,13,1001041,1000527502,Battery Park City-Lower Manhattan                                          
Ho Yip Chinese Restaurant,110 Liberty Street,,New York,NY,10006,52-29,Casual Eating & Takeout,F-Chinese,MANHATTAN,40.709885,-74.012116,1,1,13,1001042,1000527501,Battery Park City-Lower Manhattan                                          
DJ Hair Salon,110 Liberty Street,Lower Level,New York,NY,10006,52-29,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.709885,-74.012116,1,1,13,1001042,1000527501,Battery Park City-Lower Manhattan                                          
Burger King,106 Liberty Street,,New York,NY,10006,52-30,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.709831,-74.012,1,1,13,1001043,1000520030,Battery Park City-Lower Manhattan                                          
Essex World Cafe,112 Liberty Street,,New York,NY,10006,52-7501,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.70991,-74.012177,1,1,13,1001042,1000527501,Battery Park City-Lower Manhattan                                          
Se Ja Meh,114 Greenwich Street,,New York,NY,10006,53-28,Full Service Dining,F-Korean,MANHATTAN,40.708798,-74.013245,1,1,13,1001050,1000537501,Battery Park City-Lower Manhattan                                          
Moran's,103 Washington Street,,New York,NY,10006,53-3,Full Service Dining,F-American,MANHATTAN,40.708458,-74.01428,1,1,13,1001045,1000530003,Battery Park City-Lower Manhattan                                          
Trinity Boxing Club NYC,110 Greenwich Street,,New York,NY,10006,53-33,Personal and Professional Services,P-Athletic Clubs/Fitness,MANHATTAN,40.70856,-74.013349,1,1,13,1001051,1000530033,Battery Park City-Lower Manhattan                                          
Caracello Ristorante,108 Greenwich Street,,New York,NY,10006,53-35,Full Service Dining,F-Italian,MANHATTAN,40.708499,-74.013374,1,1,13,1001052,1000530035,Battery Park City-Lower Manhattan                                          
Rector Dry Cleaners,106 Greenwich Street,,New York,NY,10006,53-36,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.708442,-74.0134,1,1,13,1001053,1000530036,Battery Park City-Lower Manhattan                                          
Subway,106 Greenwich Street,,New York,NY,10006,53-36,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.708442,-74.0134,1,1,13,1001053,1000530036,Battery Park City-Lower Manhattan                                          
Thunder Lingerie,100 Greenwich Street,,New York,NY,10006,53-38,Shopping,S-Adult Novelties,MANHATTAN,40.708263,-74.013475,1,1,13,1001055,1000530038,Battery Park City-Lower Manhattan                                          
Joe's Gourmet,98 Greenwich Street,,New York,NY,10006,53-38,Casual Eating & Takeout,F-Deli,MANHATTAN,40.708203,-74.013501,1,1,13,1001055,1000530038,Battery Park City-Lower Manhattan                                          
Pussycat Lounge,96 Greenwich Street,,New York,NY,10006,53-39,Nightlife,N-Adult Entertainment,MANHATTAN,40.708142,-74.013526,1,1,13,1001056,1000530039,Battery Park City-Lower Manhattan                                          
Cordato's,94 1/2 Greenwich Street,,New York,NY,10006,53-40,Casual Eating & Takeout,F-Deli,MANHATTAN,40.708085,-74.013551,1,1,13,1001057,1000530040,Battery Park City-Lower Manhattan                                          
Cafe Bravo,94 Greenwich Street,,New York,NY,10006,53-41,Casual Eating & Takeout,F-Deli,MANHATTAN,40.708085,-74.013551,1,1,13,1001058,1000530041,Battery Park City-Lower Manhattan                                          
Budtharasa Thai Food,109 Washington Street,,New York,NY,10006,53-6,Casual Eating & Takeout,F-Thai,MANHATTAN,40.708623,-74.014218,1,1,13,1001047,1000530006,Battery Park City-Lower Manhattan                                          
85 West Sports Bar & Grill,New York Marriot Financial Center Hotel,85 West Street,New York,NY,10006,55-16,Full Service Dining,F-Restaurant & Bar,,,,,,,,,
Gift Shop,85 West Street,New York Marriott World Financial Center,New York,NY,10006,55-16,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.709646,-74.014875,1,1,13,1001061,1000550016,Battery Park City-Lower Manhattan                                          
Brooks Brothers,1 Church Street,,New York,NY,10006,62-1,Shopping,S-Apparel: Men's & Women's,MANHATTAN,40.709787,-74.011596,1,1,13,1001068,1000627501,Battery Park City-Lower Manhattan                                          
Century 21 Department Stores,10 Cortlandt Street,,New York,NY,10007,63-1,Shopping,S-Shoes: Men's,MANHATTAN,40.710028,-74.01046,1,1,13,1078966,1000630001,Battery Park City-Lower Manhattan                                          
Joseph Tailor Shop,7 Dey Street,Suite 401,New York,NY,10007,63-12,Personal and Professional Services,P-Tailoring,MANHATTAN,40.710624,-74.009955,1,1,13,1001071,1000630012,Battery Park City-Lower Manhattan                                          
Arome,5 Dey Street,,New York,NY,10007,63-12,Casual Eating & Takeout,F-Deli,MANHATTAN,40.71058,-74.009862,1,1,13,1001071,1000630012,Battery Park City-Lower Manhattan                                          
Payless Shoesource,187 Broadway,,New York,NY,10007,63-15,Shopping,S-Shoes: Men's & Women's,MANHATTAN,40.71021,-74.009656,1,1,13,1001073,1000630015,Battery Park City-Lower Manhattan                                          
Pylones,183 Broadway,,New York,NY,10007,63-16,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.710119,-74.009735,1,1,13,1001074,1000630016,Battery Park City-Lower Manhattan                                          
Tropp Printing Corp.,181 Broadway,4th Floor,New York,NY,10007,63-17,Personal and Professional Services,P-Copy and Printing Services,MANHATTAN,40.710072,-74.009775,1,1,13,1001075,1000630017,Battery Park City-Lower Manhattan                                          
V.I.P. Men's Suits,181 Broadway,2nd Floor,New York,NY,10007,63-17,Shopping,S-Apparel: Men's,MANHATTAN,40.710072,-74.009775,1,1,13,1001075,1000630017,Battery Park City-Lower Manhattan                                          
Hallmark Gold Crown,181 Broadway,,New York,NY,10007,63-17,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.710072,-74.009775,1,1,13,1001075,1000630017,Battery Park City-Lower Manhattan                                          
Century 21 Department Stores - Ladies Shoes,175 Broadway,,New York,NY,10007,63-20,Shopping,S-Shoes: Women's,MANHATTAN,40.709935,-74.00989,1,1,13,1001078,1000630020,Battery Park City-Lower Manhattan                                          
TSC Training Academy,2 Cortlandt Street,2nd Floor,New York,NY,10007,63-21,Personal and Professional Services,P-Other,MANHATTAN,40.709897,-74.010168,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Bento Nouveau Sushi,173 Broadway,,New York,NY,10007,63-21,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.709888,-74.00993,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Michal Golan,4 Cortlandt Street,,New York,NY,10007,63-21,Shopping,S-Jeweler,MANHATTAN,40.70993,-74.01024,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Cortlandt News,6 Cortlandt Street,,New York,NY,10007,63-21,Personal and Professional Services,P-Newsstands,MANHATTAN,40.709962,-74.010316,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Olga's Salon Spa,2 Cortlandt Street,,New York,NY,10006,63-21,Personal and Professional Services,P-Spa,MANHATTAN,40.709897,-74.010168,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Dunkin Donuts,2 Cortlandt Street,,New York,NY,10007,63-21,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.709897,-74.010168,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Majestic Pizza,8 Cortlandt Street,,New York,NY,10007,63-21,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.709995,-74.010388,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
21 Jewelry,2A Cortlandt Street,,New York,NY,10007,63-21,Shopping,S-Jeweler,MANHATTAN,40.709897,-74.010168,1,1,13,1001079,1000630021,Battery Park City-Lower Manhattan                                          
Century 21 Department Stores,22 Cortlandt Street,,New York,NY,10007,63-3,Shopping,S-Apparel: Men's & Women's,MANHATTAN,40.710223,-74.010897,1,1,13,1001069,1000630003,Battery Park City-Lower Manhattan                                          
Federal Cafe,20 Maiden Lane,,New York,NY,10038,64-1,Full Service Dining,F-Italian,MANHATTAN,40.709252,-74.0091,1,1,1502,1079033,1000640001,Battery Park City-Lower Manhattan                                          
Sephora,150 Broadway,,New York,NY,10038,64-12,Shopping,S-Beauty & Fragrances,MANHATTAN,40.70932,-74.010392,1,1,1502,1001087,1000640012,Battery Park City-Lower Manhattan                                          
Bank of America,150 Broadway,,New York,NY,10038,64-12,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.70932,-74.010392,1,1,1502,1001087,1000640012,Battery Park City-Lower Manhattan                                          
Modell's,150 Broadway,,New York,NY,10038,64-12,Shopping,S-Sporting Goods & Athletic Wear,MANHATTAN,40.70932,-74.010392,1,1,1502,1001087,1000640012,Battery Park City-Lower Manhattan                                          
Showroom Hair Salon,160 Broadway,Lobby,New York,NY,,64-15,Personal and Professional Services,P-Hair Salon & Barber Shop,,,,,,,,,
"Adcomp Systems, Inc.",160 Broadway,,New York,NY,10038,64-15,Shopping,S-Computers & Electronics,MANHATTAN,40.709493,-74.01024,1,1,1502,1079040,1000640015,Battery Park City-Lower Manhattan                                          
McDonald's,160 Broadway,,New York,NY,10038,64-15,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.709493,-74.01024,1,1,1502,1079040,1000640015,Battery Park City-Lower Manhattan                                          
Broadway Kosher Cafe,160 Broadway,,New York,NY,10038,64-15,Casual Eating & Takeout,F-Kosher,MANHATTAN,40.709493,-74.01024,1,1,1502,1079040,1000640015,Battery Park City-Lower Manhattan                                          
Maiden Lane Wine & Liquor,6 Maiden Lane,,New York,NY,10038,64-15,Shopping,S-Liquor Store,MANHATTAN,40.709661,-74.009688,1,1,1502,1079037,1000640015,Battery Park City-Lower Manhattan                                          
DeNatale Jewelers,170 Broadway,Suite 205,New York,NY,,64-16,Shopping,S-Jeweler,,,,,,,,,
T-Mobile,170 Broadway,,New York,NY,10038,64-16,Shopping,S-Cellular Phones,MANHATTAN,40.709669,-74.010092,1,1,1502,1001088,1000640016,Battery Park City-Lower Manhattan                                          
Cafe Exchange,2 Maiden Lane,,New York,NY,10038,64-16,Casual Eating & Takeout,F-Deli,MANHATTAN,40.709737,-74.009851,1,1,1502,1001088,1000640016,Battery Park City-Lower Manhattan                                          
Sprint,170 Broadway,,New York,NY,10038,64-16,Shopping,S-Cellular Phones,MANHATTAN,40.709669,-74.010092,1,1,1502,1001088,1000640016,Battery Park City-Lower Manhattan                                          
22 Thai Cuisine,22 Maiden Lane,,New York,NY,10038,64-2,Casual Eating & Takeout,F-Thai,MANHATTAN,40.709194,-74.009046,1,1,1502,1001080,1000640002,Battery Park City-Lower Manhattan                                          
Alfanoose Restaurant,8 Maiden Lane,,New York,NY,10038,64-20,Casual Eating & Takeout,F-Middle Eastern,MANHATTAN,40.709619,-74.009609,1,1,1502,1001089,1000640020,Battery Park City-Lower Manhattan                                          
Sushi a La kawa,18 Maiden Lane,,New York,NY,10038,64-24,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.709378,-74.009248,1,1,1502,1001092,1000640024,Battery Park City-Lower Manhattan                                          
Win Won Chinese,10 Liberty Place,,New York,NY,10038,64-25,Casual Eating & Takeout,F-Chinese,MANHATTAN,40.709092,-74.009338,1,1,1502,1001093,1000640025,Battery Park City-Lower Manhattan                                          
Jou Jou Cafe,55 Nassau Street,,New York,NY,10038,64-4,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.709021,-74.008934,1,1,1502,1001081,1000640004,Battery Park City-Lower Manhattan                                          
Elysium Hair Salon,24 Maiden Lane,,New York,NY,10038,64-4,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.709136,-74.008989,1,1,1502,1001081,1000640004,Battery Park City-Lower Manhattan                                          
Ann's Nails,24 Maiden Lane,2nd Floor,New York,NY,10038,64-4,Personal and Professional Services,P-Nail Salon,MANHATTAN,40.709136,-74.008989,1,1,1502,1001081,1000640004,Battery Park City-Lower Manhattan                                          
55 Nassau Shoe Repair,55 Nassau Street,,New York,NY,10038,64-4,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.709021,-74.008934,1,1,1502,1001081,1000640004,Battery Park City-Lower Manhattan                                          
Diwan E. Khaas,53 Nassau Street,,New York,NY,10038,64-6,Casual Eating & Takeout,F-Indian,MANHATTAN,40.708974,-74.008985,1,1,1502,1001082,1000640005,Battery Park City-Lower Manhattan                                          
The Greene Grape,55 Liberty Street,,New York,NY,10005,64-8,Shopping,S-Liquor Store,MANHATTAN,40.708692,-74.009508,1,1,1502,1001084,1000640008,Battery Park City-Lower Manhattan                                          
Pound & Pence,55 Liberty Street,,New York,NY,10005,64-8,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.708692,-74.009508,1,1,1502,1001084,1000640008,Battery Park City-Lower Manhattan                                          
101 Newsstand,47 Nassau Street,,New York,NY,10038,64-8,Personal and Professional Services,P-Newsstands,MANHATTAN,40.708821,-74.009158,1,1,1502,1001084,1000640008,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,55 Liberty Street,,New York,NY,10005,64-8,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.708692,-74.009508,1,1,1502,1001084,1000640008,Battery Park City-Lower Manhattan                                          
Maiden Heaven Gourmet,9-11 Maiden Lane,,New York,NY,10038,65-10,Casual Eating & Takeout,F-Deli,MANHATTAN,40.709606,-74.009555,1,1,1502,1001098,1000650010,Battery Park City-Lower Manhattan                                          
Baoguette,9 Maiden Lane,,New York,NY,10038,65-10,Casual Eating & Takeout,F-Vietnamese,MANHATTAN,40.709606,-74.009555,1,1,1502,1001098,1000650010,Battery Park City-Lower Manhattan                                          
Daniella Helene,28 John Street,,New York,NY,10038,65-1001,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.709685,-74.00865,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
Health King,65 Nassau Street,,New York,NY,10038,65-1001,Casual Eating & Takeout,F-Health,MANHATTAN,40.70935,-74.00861,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
JD Candy News,65 Nassau Street,,New York,NY,10038,65-1001,Personal and Professional Services,P-Newsstands,MANHATTAN,40.70935,-74.00861,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
The Tie Gallery,30 John Street,,New York,NY,10038,65-1001,Shopping,S-Apparel: Men's,MANHATTAN,40.709644,-74.008595,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
Golden Nugget Jewelers,67 Nassau Street,,New York,NY,10038,65-1001,Shopping,S-Jeweler,MANHATTAN,40.709405,-74.008552,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
The Vitamin Shoppe,174 Broadway,,New York,NY,10038,65-16,Shopping,S-Nutrition & Health,MANHATTAN,40.70988,-74.009912,1,1,1502,1001099,1000650016,Battery Park City-Lower Manhattan                                          
Downtown Eyebrow Threading,5 Maiden Lane,,New York,NY,,65-17,Personal and Professional Services,P-Eyebrows,,,,,,,,,
Capital One Bank,176 Broadway,,New York,NY,10038,65-17,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.709932,-74.009869,1,1,1502,1001100,1000650017,Battery Park City-Lower Manhattan                                          
Chameleon Comics,3 Maiden Lane,,New York,NY,10038,65-17,Shopping,S-Bookstores,MANHATTAN,40.709718,-74.009768,1,1,1502,1001100,1000650017,Battery Park City-Lower Manhattan                                          
Tower Art Gallery,7 Maiden Lane,,New York,NY,10038,65-17,Shopping,"S-Framing, Posters & Art Supplies",MANHATTAN,40.709647,-74.009623,1,1,1502,1001100,1000650017,Battery Park City-Lower Manhattan                                          
William Barthman Jewelers,176 Broadway,,New York,NY,10038,65-17,Shopping,S-Jeweler,MANHATTAN,40.709932,-74.009869,1,1,1502,1001100,1000650017,Battery Park City-Lower Manhattan                                          
"Digi Prints, Inc.",176 Broadway,,New York,NY,10038,65-17,Personal and Professional Services,P-Film Developing,MANHATTAN,40.709932,-74.009869,1,1,1502,1001100,1000650017,Battery Park City-Lower Manhattan                                          
Cafe Toda,180 Broadway,,New York,NY,10038,65-18,Casual Eating & Takeout,F-Deli,MANHATTAN,40.710037,-74.009779,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
S&M Universal Jewelery,2 John Street,,New York,NY,10038,65-19,Shopping,S-Jeweler,MANHATTAN,40.710201,-74.009382,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
Tokyo Lunch,10 John Street,,New York,NY,10038,65-19,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.710042,-74.009158,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
Discount Fragrances,2 John Street,,New York,NY,10038,65-19,Shopping,S-Beauty & Fragrances,MANHATTAN,40.710201,-74.009382,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
Burger King,182 Broadway,Lower Level,New York,NY,10038,65-19,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.710089,-74.009735,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
Easy Spirit,182 Broadway,,New York,NY,10007,65-19,Shopping,S-Shoes: Women's,MANHATTAN,40.710089,-74.009735,1,1,1502,1001102,1000657502,Battery Park City-Lower Manhattan                                          
Harry's Convenience Store,2 John Street,,New York,NY,,65-19,Personal and Professional Services,P-Newsstands,,,,,,,,,
5 Star Gift Shop,65 Nassau Street,,New York,NY,10038,65-2,Shopping,S-Beauty & Fragrances,MANHATTAN,40.70935,-74.00861,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          
Nu Way Shoe Repair,12 John Street,,New York,NY,10038,65-20,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.710004,-74.0091,1,1,1502,1001103,1000650020,Battery Park City-Lower Manhattan                                          
Cellular Plus,12 John Street,,New York,NY,10038,65-20,Shopping,S-Cellular Phones,MANHATTAN,40.710004,-74.0091,1,1,1502,1001103,1000650020,Battery Park City-Lower Manhattan                                          
Maggies Cajun,12 John Street,,New York,NY,10038,65-20,Casual Eating & Takeout,F-Cajun,MANHATTAN,40.710004,-74.0091,1,1,1502,1001103,1000650020,Battery Park City-Lower Manhattan                                          
It's A Pizza,20 John Street,,New York,NY,10038,65-22,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.709845,-74.008877,1,1,1502,1001104,1000650022,Battery Park City-Lower Manhattan                                          
Roxy Coffee Shop,20 John Street,,New York,NY,10038,65-22,Full Service Dining,F-Diner,MANHATTAN,40.709845,-74.008877,1,1,1502,1001104,1000650022,Battery Park City-Lower Manhattan                                          
Mini Centro,59 Nassau Street,,New York,NY,10038,65-4,Shopping,S-Shoes: Women's,MANHATTAN,40.70918,-74.008776,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Jacob's Shoe Repair,25 Maiden Lane,,New York,NY,10038,65-4,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.709145,-74.00897,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Candy Nail Salon,25 Maiden Lane,2nd Floor,New York,NY,10038,65-4,Personal and Professional Services,P-Nail Salon,MANHATTAN,40.709145,-74.00897,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Friendly Gourmet Pizza,59 Nassau Street,,New York,NY,10038,65-4,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.70918,-74.008776,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Sunrise Cleaners,59 Nassau Street,,New York,NY,10038,65-4,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.70918,-74.008776,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Hana,59 Nassau Street,,New York,NY,10038,65-4,Full Service Dining,F-Chinese,MANHATTAN,40.70918,-74.008776,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Natalie,59 Nassau Street,,New York,NY,10038,65-4,Shopping,S-Apparel: Women's,MANHATTAN,40.70918,-74.008776,1,1,1502,1001095,1000650004,Battery Park City-Lower Manhattan                                          
Papa John's Pizza,21 Maiden Lane,,New York,NY,10038,65-6,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.70926,-74.009082,1,1,1502,1001096,1000650006,Battery Park City-Lower Manhattan                                          
Subway,21 Maiden Lane,,New York,NY,10038,65-6,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.70926,-74.009082,1,1,1502,1001096,1000650006,Battery Park City-Lower Manhattan                                          
Atlantic Bank of New York,15 Maiden Lane,,New York,NY,10038,65-7,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.709482,-74.009356,1,1,1502,1001097,1000650007,Battery Park City-Lower Manhattan                                          
G.D. Jewelry,15 Maiden Lane,,New York,NY,10038,65-7,Shopping,S-Jeweler,MANHATTAN,40.709482,-74.009356,1,1,1502,1001097,1000650007,Battery Park City-Lower Manhattan                                          
Aerosoles,18 John Street,,New York,NY,10038,65-7,Shopping,S-Shoes: Women's,MANHATTAN,40.709883,-74.008931,1,1,1502,1001097,1000650007,Battery Park City-Lower Manhattan                                          
Optima Beauty Supply,22 John Street,,New York,NY,10038,65-7,Shopping,S-Beauty & Fragrances,MANHATTAN,40.709803,-74.008819,1,1,1502,1001097,1000650007,Battery Park City-Lower Manhattan                                          
Zeytuna,59 Maiden Lane,,New York,NY,10006,67-1,Shopping,F-Supermarket,MANHATTAN,40.708266,-74.008231,1,1,1502,1079043,1000670001,Battery Park City-Lower Manhattan                                          
Godiva Chocolatier,33 Maiden Lane,,New York,NY,10038,67-23,Shopping,S-Candy & Chocolate,MANHATTAN,40.708807,-74.008678,1,1,1502,1001109,1000670023,Battery Park City-Lower Manhattan                                          
