,Cate,Cols,Id,Len,Name,Time
39,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'project geographic district ', 'project building identifier', 'project school name', 'project type ', 'project description', 'project phase name', 'project status name', 'project phase actual start date', 'project phase planned end date', 'project phase actual end date', 'project budget amount', 'final estimate of actual costs through end of phase amount', 'total phase actual spending amount', 'dsf number(s)']",2xh6-psuq,8185.0,capital project schedules and budgets,1377198041.0
40,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'sample id', 'sample date', 'beach name', 'sample location', 'enterococci results', 'units or notes']",2xir-kwzz,20109.0,dohmh beach water quality data,1464807245.0
41,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'staten island – cooperatives comparable properties – boro-block-lot', 'staten island – cooperatives comparable properties – address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta', 'staten island – cooperatives comparable properties – neighborhood', 'staten island – cooperatives comparable properties – building classification', 'staten island – cooperatives comparable properties – total units', 'staten island – cooperatives comparable properties – year built', 'staten island – cooperatives comparable properties – gross sqft', 'staten island – cooperatives comparable properties – estimated gross income', 'staten island – cooperatives comparable properties – gross income per sqft', 'staten island – cooperatives comparable properties – estimated expense', 'staten island – cooperatives comparable properties – expense per sqft', 'staten island – cooperatives comparable properties – net operating income', 'staten island – cooperatives comparable properties – full market value', 'staten island – cooperatives comparable properties – market value per sqft', 'comparable rental – 1 – boro-block-lot', 'comparable rental – 1 – address', 'comparable rental – 1 – neighborhood', 'comparable rental – 1 – building classification', 'comparable rental – 1 – total units', 'comparable rental – 1 – year built', 'comparable rental – 1 – gross sqft', 'comparable rental – 1 – estimated gross income', 'comparable rental – 1 – gross income per sqft', 'comparable rental – 1 – estimated expense', 'comparable rental – 1 – expense per sqft', 'comparable rental – 1 – net operating income', 'comparable rental – 1 – full market value', 'comparable rental – 1 – market value per sqft', 'comparable rental – 1 – distance from coop in miles', 'comparable rental – 2 – boro-block-lot', 'comparable rental – 2 – address', 'comparable rental – 2 – neighborhood', 'comparable rental – 2 – building classification', 'comparable rental – 2 – total units', 'comparable rental – 2 – year built', 'comparable rental – 2 – gross sqft', 'comparable rental – 2 – estimated gross income', 'comparable rental – 2 – gross income per sqft', 'comparable rental – 2 – estimated expense', 'comparable rental – 2 – expense per sqft', 'comparable rental – 2 – net operating income', 'comparable rental – 2 – full market value', 'comparable rental – 2 – market value per sqft', 'comparable rental – 2 – distance from coop in miles', 'comparable rental – 3 – boro-block-lot', 'comparable rental – 3 – address', 'comparable rental – 3 – neighborhood', 'comparable rental – 3 – building classification', 'comparable rental – 3 – total units', 'comparable rental – 3 – year built', 'comparable rental – 3 – gross sqft', 'comparable rental – 3 – estimated gross income', 'comparable rental – 3 – gross income per sqft', 'comparable rental – 3 – estimated expense', 'comparable rental – 3 – expense per sqft', 'comparable rental – 3 – net operating income', 'comparable rental – 3 – full market value', 'comparable rental – 3 – market value per sqft', 'comparable rental – 3 – distance from coop in miles']",2zbg-i8fx,26.0,dof: cooperative comparable rental income – staten island – fy 2011/2012,1317671376.0
42,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'rank', 'name', 'unit', 'date']",32y8-s55c,1169.0,fdny line of duty deaths,1359995129.0
43,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'family size', 'income more than', 'income less than', 'hhc options reduced fee level']",32yu-maz2,49.0,new york city health and hospitals corporation (hhc): hhc options (family level),1317407071.0
44,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'site', 'location', 'sample date', 'analysis date tthm (µg/l) (a)', 'result tthm (µg/l) (a) ', 'lraa tthm (µg/l) (a)', 'oel tthm (µg/l) (a)', 'analysis date haa5 (µg/l) (b)', 'result haa5 (µg/l) (b)', 'lraa haa5 (µg/l) (b)', 'oel haa5 (µg/l) (b)']",33c5-b922,300.0,summary of dbp quarterly report,1424802927.0
45,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'month', 'cash assistance - medical assistance', 'supplemental security income - medical assistance', 'nursing home - medical assistance', 'medical assistance only', 'total hra-enrolled medical assistance individuals']",33db-aeds,115.0,citywide hra- administered medicaid enrollees,1452793074.0
46,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'project_id', 'project_name', 'reporting_quarter', 'entity_name', 'entity_role', 'entity_wage_reporting_status', 'project_wage_reporting_status']",34zf-iv73,282.0,local law 44 - wage information,1516657061.0
47,Business,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'mtype', 'compname', 'comptel', 'bullet', 'location 1', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta']",35f6-8qd2,8.0,denied registrants in the wholesale markets,1318110838.0
48,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'traffic control division', '2005', '2006', '2007', '2008', '2009', 'total']",35fd-ehz6,22.0,ccrb: attribution of complaints to traffic control division 2005 - 2009,1316039965.0
49,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program type', 'program', 'site name', 'address', 'post code', 'borough / community', 'agency', 'contact number', 'grade level / age group ', 'location 1', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",35sw-rdxj,80.0,dycd after-school programs:  beacon programs,1314818458.0
50,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'household size *', 'yearly income', 'monthly income', 'weekly income']",366m-74zg,9.0,wic income eligibility,1363713871.0
51,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program type', 'program', 'site name', 'number and street', 'postcode', 'borough / community', 'agency', 'contact number', 'grade level / age group ', 'location 1', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",36hn-wea6,20.0,dycd after-school programs: osy out of school youth employment programs,1314909572.0
52,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'year', 'fips county code', 'dcp borough code', 'census tract', 'population']",37cg-gxjd,4336.0,new york city population by census tracts,1362328563.0
53,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'name', 'address 1', 'address 2', 'city', 'state', 'zip code', 'phone #', 'days', 'hours', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",37fm-7uaa,2.0,nycha customer contact centers,1364497878.0
54,NYC BigApps,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'bble', 'bbl', 'borough', 'building name', 'street address', 'certification class', '# of carriers', 'coax/cable connections', 'fiber connection', 'satellite/fixed wireless connection', 'fiber distribution', '# isps', 'multiple points of entry', 'designated telecom utility space', 'additional telecom space', 'riser space for current providers', 'riser space for additional providers', 'diverse riser locations', 'signed poes', 'agreements', 'new service providers', 'isps', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'nta', 'postcode', 'council district']",37it-gmcp,51.0,wirednyc – certified buildings,1402670968.0
55,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'cohort year', 'cohort category', 'demographic', 'total cohort num', 'total grads num', 'total grads pct of cohort', 'total regents num', 'total regents pct of cohort', 'total regents pct of grads', 'advanced regents num', 'advanced regents pct of cohort', 'advanced regents pct of grads', 'regents w/o advanced num', 'regents w/o advanced pct of cohort', 'regents w/o advanced pct of grads', 'local num', 'local pct of cohort', 'local pct of grads', 'still enrolled num', 'still enrolled pct of cohort', 'dropped out num', 'dropped out pct of cohort']",38ib-pjw5,46.0,2005 - 2011 graduation outcomes - citywide - ell,1361413914.0
56,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'service', 'hhc options reduced fee level', 'fee']",3955-c36a,42.0,new york city health and hospitals corporation (hhc): hhc options (common fees),1317407439.0
