	Cols	Id	Name	Len	Time	Cate
12	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, location_id, organization_id, name, latitude, longitude, bbl, bin, cd, council, nta, tract"	29km-avyc	verified locations for nyc city-funded social service contracts fy2018 (location)	4578	1522175299	City Government
13	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, school name, category, year, total enrollment, #grade k, #grade 1, #grade 2, #grade 3, #grade 4, #grade 5, #grade 6, #grade 7, #grade 8, #female, %female, #male, %male, #asian, %asian, #black, %black, #hispanic, %hispanic, #other, %other, #white, %white, #ell spanish, %ell spanish, #ell chinese, %ell chinese, #ell bengali, %ell bengali, #ell arabic, %ell arabic, #ell haitian creole, %ell haitian creole, #ell french, %ell french, #ell russian, %ell russian, #ell korean, %ell korean, #ell urdu, %ell urdu, #ell other, %ell other, ela #test takers, ela #level 1, ela %level 1, ela #level 2, ela %level 2, ela #level 3, ela %level 3, ela #level 4, ela %level 4, ela #l3+l4, ela %l3+l4, math #test takers, math #level 1, math %level 1, math #level 2, math %level 2, math #level 3, math %level 3, math #level 4, math %level 4, math #l3+l4, math %l3+l4"	29ry-u5bf	2017 diversity report k-8 - school	6828	1511292394	Education
14	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, demographic, number tested, mean scale score, num level 1, pct level 1, num level 2, pct level 2, num level 3, pct level 3, num level 4, pct level 4, num level 3 and 4, pct level 3 and 4"	2bh6-qmgg	2006-2012 math test results - citywide - gender	98	1361414674	Education
15	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, published date, project type, project type description, budget line, budget line description, funding type, number of years presented, first fiscal year, fiscal year 1 amount, fiscal year 2 amount, fiscal year 3 amount, fiscal year 4 amount, fiscal year 5 amount"	2cmn-uidm	capital commitment plan	11544	1517866881	City Government
16	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, priority code, title, description"	2ei9-vg68	nycha application priority codes	5	1364497876	Housing & Development
17	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, school name, grade level, category, average frequency , average minutes, # of students who are receiving the required amount of physical education instruction, %  of students who are receiving the required amount of physical education instruction, # of students who are receiving less than the required amount of physical education instruction, % of students who are receiving less than the required amount of physical education instruction, # of students who have an iep that recommends adaptive physical education, %of students who have an iep that recommends adaptive physical education"	2emc-na4n	2016-17 physical education - pe instruction - school level	77561	1504301725	Education
18	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, family size, yearly income ($), monthly income ($), weekly income ($)"	2enn-s52j	adult family health plus levels	8	1363716443	City Government
19	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, #, type of work\xa0\xa0\xa0, estimated $ range\xa0\xa0\xa0, bid date & time\xa0\xa0\xa0, pin\xa0\xa0\xa0, proj id\xa0\xa0\xa0, description\xa0\xa0\xa0, plan holders"	2eq2-trdu	directory of competitive bid	43	1362576815	Housing & Development
20	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, organization name, program name, phone number, fax number, tty number , hotline number, hotline hours of operation, website, borough served brooklyn , borough served bronx , borough served manhattan , borough served queens , borough served staten island , borough served citywide , catchment area, language english , language spanish, language chinese, language bengali , language polish , language french , language arabic , language haitian creole , language korean , language albanian , language russian , language hindi, language urdu, language african languages , language american sign , language other , wheelchair accessible, fee services, specialize survivors of sexual assault and domestic violence, specialize child witness to domestic violence , specialize hiv/aids, specialize lgbtq, specialize male survivors, specialize new immigrants, specialize people seeking asylum, specialize substance abuse services, specialize trafficking victim services, specialize elder abuse services, specialize services stalking victims , specialize services teen dating violence victims , specialize services people disabilities , specialize batterers, specialize children at risk , specialized teenagers, specialize other, service community education, service court/police accompaniment, service crisis counseling, service general domestic violence, service elder abuse, service esl classes, service emergency assistance/transportation, service healing arts theater programs, service health services, service hiv/aids, service job training, service sexual assault victim services, service long term counseling, service lock replacement, service play therapy, service public assistance, service referrals, service shelter assistance , service housing assistance , service stalking victim services , service teen dating violence victim services, service trafficking victim services, service other "	2fws-68t6	mayor's office to combat domestic violence resource directory	230	1514392105	Social Services
21	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, category, number tested, mean scale score, level1_n, level1_%, level2_n, level2_%, level3_n, level3_%, level4_n, level4_%, level3+4_n, level3+4_%"	2gjq-v9z9	2013-2017 citywide math results - evell	83	1506352064	Education
22	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, type of abuse of authority allegation, substantiated number, sunstantiated rate, exonerated number, exonerated rate, unsubstantiated number, unsubstantiated rate, unfounded number, unfounded rate, officer unidentified number, officer unidentified rate, miscellaneous, miscellaneous rate"	2iia-33q9	disposition of abuse of authority allegations 2007	30	1317245873	Public Safety
23	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, other bureaus, 2005, 2006, 2007, 2008, 2009, total"	2ij3-wj64	ccrb: assignment of officers against whom allegations were substantiated - other bureaus 2005 - 2009	15	1315932434	Public Safety
24	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, date, unique id number, program code, language, program name, program acronym, if any, page type, program category, government agency, population served, age group, plain language program name, program description, brief excerpt, heads up, plain language eligibility, how to apply summary, how to apply or enroll online?, apply online call to action, url of online application, how to apply or enroll by mail?, apply by mail call to action, application forms, url of pdf application forms, how to apply or enroll in person?, apply in person call to action, office locations url, how to apply or enroll by phone?, required documents summary, get help summary, get help in person, get help online, get help by email, get help by calling , other than 311., get help by calling 311. please provide what to ask for when calling 311"	2j8u-wtju	benefits and programs api	5669	1490112684	Social Services
25	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, licensee number, licensee name, alternate name of licensee, building, street address, secondary address, city, state, post code, borough, telephone number, last updated date, last updated time, latitude, longitude, community board, community council , census tract, bin, bbl, nta"	2n4x-d97d	nyc taxi and limousine commission authorized dispatch service providers (dsp)	2	1480364460	Transportation
26	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, category, number tested, mean scale score, level1_n, level1_%, level2_n, level2_%, level3_n, level3_%, level4_n, level4_%, level3+4_n, level3+4_%"	2p64-jbjs	2013-2017 citywide ela results - all	35	1506349682	Education
27	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, year, dbn, school name, total enrollment, grade pk, grade k, grade 1, grade 2, grade 3, grade 4, grade 5, grade 6, grade 7, grade 8, grade 9, grade 10, grade 11, grade 12, # female, % female, # male, % male, # asian, % asian, # black, % black, # hispanic, % hispanic, # other, % other, # white, % white, # students with disabilities, % students with disabilities, # english language learners, % english language learners, # qualified for free or reduced lunches, % qualified for free or reduced lunches, # poverty, % poverty"	2pmj-y4p4	2015 - 2016 audited register data	9200	1451494488	Education
28	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, zip, building type (service class),  consumption (mlbs) ,  consumption (mg) , utility/data source"	2pmt-skyq	steam consumption by zip code - 2010	102	1317248179	Environment
29	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, gf application submitted to doitt (a), cbl link id, latitude, longitude, borough, council district, zoning, community board, street address, cross_street 1, postcode, cross_street 2, link in historic district, site in business improvement district (bid)?, nta, bid, gf permit_appl_id, bin, bbl, census tract, location 1"	2q48-ip9a	linknyc new site permit applications - map	221	1461876323	Social Services
30	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, survey, question, year, prevalence, lower95%ci, upper95%ci"	2r9r-m6j4	community health survey	100	1477662152	Health
31	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, food type, from new york state source, other source - during new york state availability period, other source - outside new york state availability period"	2rd2-9uwy	local law 50 new york state food purchasing fy15	83	1450370278	City Government
32	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, mocs people id, organization name, person first name, person middle name, person last name, person_name_suffix, relationship type code, doing business start date, doing business end date"	2sps-j9st	doing business search - people	49649	1450892054	City Government
33	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, publication date, agency number, agency name, fiscal year, personnel type code, personnel type name, code for full-time & ftes, full-time/full-time equivalents/ ft + fte positions, city funded headcount, ifa funded headcount, cd funded headcount, other funded headcount, total"	2t2c-qih9	full-time and full-time equivalent staffing levels	8778	1462306191	City Government
34	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, jurisdiction name, count participants, count female, percent female, count male, percent male, count gender unknown, percent gender unknown, count gender total, percent gender total, count pacific islander, percent pacific islander, count hispanic latino, percent hispanic latino, count american indian, percent american indian, count asian non hispanic, percent asian non hispanic, count white non hispanic, percent white non hispanic, count black non hispanic, percent black non hispanic, count other ethnicity, percent other ethnicity, count ethnicity unknown, percent ethnicity unknown, count ethnicity total, percent ethnicity total, count permanent resident alien, percent permanent resident alien, count us citizen, percent us citizen, count other citizen status, percent other citizen status, count citizen status unknown, percent citizen status unknown, count citizen status total, percent citizen status total, count receives public assistance, percent receives public assistance, count nreceives public assistance, percent nreceives public assistance, count public assistance unknown, percent public assistance unknown, count public assistance total, percent public assistance total"	2t32-hbca	assembly district breakdowns	65	1311776156	City Government
35	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, category, number tested, mean scale score, level1_n, level1_%, level2_n, level2_%, level3_n, level3_%, level4_n, level4_%, level3+4_n, level3+4_%"	2uk5-v8da	2013-2017 citywide ela results - evell	84	1506350235	Education
36	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, base license number, wave number, base name, dba, years, week number, pickup start date, pickup end date, total dispatched trips, unique dispatched vehicle"	2v9c-2k7f	fhv base aggregate report	81423	1460045702	Transportation
37	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, district, grade level, category, average frequency , average minutes, # of students who are receiving the required amount of physical education instruction, % of students who are receiving the required amount of physical education instruction, # of students who are receiving less than the required amount of physical education instruction, % of students who are receiving less than the required amount of physical education instruction, # of students who have an iep that recommends adaptive physical education, % of students who have an iep that recommends adaptive physical education"	2vha-97jm	2016-17 physical education - pe instruction - district level	4290	1504301518	Education
38	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, location name, location category, administrative district, american indian/alaskan native removals, american indian/alaskan native principal, american indian/alaskan native superintendent, american indian/alaskan native expulsions, asian removals, asian principal, asian superintendent, asian expulsions, black removals, black principal, black superintendent, black expulsions, hispanic removals, hispanic principal, hispanic superintendent, hispanic expulsions, white removals, white principal, white superintendent, white expulsions, multi-racial removals, multi-racial principal, multi-racial superintendent, multi-racial expulsions, unknown removals, unknown principal, unknown superintendent, unknown expulsions"	2x8v-d8nh	2015-16 student discipline annual report - race	1743	1501869385	Education
39	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, project geographic district , project building identifier, project school name, project type , project description, project phase name, project status name, project phase actual start date, project phase planned end date, project phase actual end date, project budget amount, final estimate of actual costs through end of phase amount, total phase actual spending amount, dsf number(s)"	2xh6-psuq	capital project schedules and budgets	8185	1377198041	Housing & Development
40	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, sample id, sample date, beach name, sample location, enterococci results, units or notes"	2xir-kwzz	dohmh beach water quality data	20109	1464807245	Health
41	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, staten island ü cooperatives comparable properties ü boro-block-lot, staten island ü cooperatives comparable properties ü address, borough, postcode, latitude, longitude, community board, council district , census tract, bin, bbl, nta, staten island ü cooperatives comparable properties ü neighborhood, staten island ü cooperatives comparable properties ü building classification, staten island ü cooperatives comparable properties ü total units, staten island ü cooperatives comparable properties ü year built, staten island ü cooperatives comparable properties ü gross sqft, staten island ü cooperatives comparable properties ü estimated gross income, staten island ü cooperatives comparable properties ü gross income per sqft, staten island ü cooperatives comparable properties ü estimated expense, staten island ü cooperatives comparable properties ü expense per sqft, staten island ü cooperatives comparable properties ü net operating income, staten island ü cooperatives comparable properties ü full market value, staten island ü cot value, staten island ü cooperatives comparable properties ü market value per sqft, comparable rental ü 1 ü boro-block-lot, comparable rental ü 1 ü address, comparable rental ü 1 ü neighborhood, comparable rental ü 1 ü building classification, comparable rental ü 1 ü total units, comparable rental ü 1 ü year built, comparable rental ü 1 ü gross sqft, comparable rental ü 1 ü estimated gross income, comparable rental ü 1 ü gross income per sqft, comparable rental ü 1 ü estimated expense, comparable rental ü 1 ü expense per sqft, comparable rental ü 1 ü net operating income, comparable rental ü 1 ü full market value, comparable rental ü 1 ü market value per sqft, comparable rental ü 1 ü distance from coop in miles, comparable rental ü 2 ü boro-block-lot, comparable rental ü 2 ü address, comparable rental ü 2 ü neighborhood, comparable rental ü 2 ü building classification, comparable rental ü 2 ü total units, comparable rental ü 2 ü year built, comparable rental ü 2 ü gross sqft, comparable rental ü 2 ü estimated gross income, comparable rental ü 2 ü estimated gross income, comparable rental ü 2 ü gross income per sqft, comparable rental ü 2 ü estimated expense, comparable rental ü 2 ü expense per sqft, comparable rental ü 2 ü net operating income, comparable rental ü 2 ü full market value, comparable rental ü 2 ü market value per sqft, comparable rental ü 2 ü distance from coop in miles, comparable rental ü 3 ü boro-block-lot, comparable rental ü 3 ü address, comparable rental ü 3 ü neighborhood, comparable rental ü 3 ü building classification, comparable rental ü 3 ü total units, comparable rental ü 3 ü year built, comparable rental ü 3 ü gross sqft, comparable rental ü 3 ü estimated gross income, comparable rental ü 3 ü gross income per sqft, comparable rental ü 3 ü estimated expense, comparable rental ü 3 ü expense per sqft, comparable rental ü 3 ü net operating income, comparable rental ü 3 ü full market value, comparable rental ü 3 ü market value per sqft, comparable rental ü 3 ü distance from coop in milesrable rental ¨¹ 3 ¨¹ distance from coop in miles"	2zbg-i8fx	dof: cooperative comparable rental income ¨¹ staten island ¨¹ fy 2011/2012	26	1317671376	Housing & Development
42	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, rank, name, unit, date"	32y8-s55c	fdny line of duty deaths	1169	1359995129	Public Safety
43	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, family size, income more than, income less than, hhc options reduced fee level"	32yu-maz2	new york city health and hospitals corporation (hhc): hhc options (family level)	49	1317407071	Health
44	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, site, location, sample date, analysis date tthm (Âµg/l) (a), result tthm (Âµg/l) (a) , lraa tthm (Âµg/l) (a), oel tthm (Âµg/l) (a), analysis date haa5 (Âµg/l) (b), result haa5 (Âµg/l) (b), lraa haa5 (Âµg/l) (b), oel haa5 (Âµg/l) (b)"	33c5-b922	summary of dbp quarterly report	300	1424802927	Environment
45	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, month, cash assistance - medical assistance, supplemental security income - medical assistance, nursing home - medical assistance, medical assistance only, total hra-enrolled medical assistance individuals"	33db-aeds	citywide hra- administered medicaid enrollees	115	1452793074	Social Services
46	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, project_id, project_name, reporting_quarter, entity_name, entity_role, entity_wage_reporting_status, project_wage_reporting_status"	34zf-iv73	local law 44 - wage information	282	1516657061	Housing & Development
47	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, mtype, compname, comptel, bullet, location 1, borough, postcode, latitude, longitude, community board, council district , census tract, bin, bbl, nta"	35f6-8qd2	denied registrants in the wholesale markets	8	1318110838	Business
48	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, traffic control division, 2005, 2006, 2007, 2008, 2009, total"	35fd-ehz6	ccrb: attribution of complaints to traffic control division 2005 - 2009	22	1316039965	Public Safety
49	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, program type, program, site name, address, post code, borough / community, agency, contact number, grade level / age group , location 1, latitude, longitude, community board, community council , census tract, bin, bbl, nta"	35sw-rdxj	dycd after-school programs:  beacon programs	80	1314818458	Education
50	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, household size *, yearly income, monthly income, weekly income"	366m-74zg	wic income eligibility	9	1363713871	Health
51	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, program type, program, site name, number and street, postcode, borough / community, agency, contact number, grade level / age group , location 1, latitude, longitude, community board, community council , census tract, bin, bbl, nta"	36hn-wea6	dycd after-school programs: osy out of school youth employment programs	20	1314909572	Education
52	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, borough, year, fips county code, dcp borough code, census tract, population"	37cg-gxjd	new york city population by census tracts	4336	1362328563	City Government
53	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, name, address 1, address 2, city, state, zip code, phone #, days, hours, latitude, longitude, community board, community council , census tract, bin, bbl, nta"	37fm-7uaa	nycha customer contact centers	2	1364497878	City Government
54	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, bble, bbl, borough, building name, street address, certification class, # of carriers, coax/cable connections, fiber connection, satellite/fixed wireless connection, fiber distribution, # isps, multiple points of entry, designated telecom utility space, additional telecom space, riser space for current providers, riser space for additional providers, diverse riser locations, signed poes, agreements, new service providers, isps, latitude, longitude, community board, community council , census tract, bin, nta, postcode, council district"	37it-gmcp	wirednyc ¨¹ certified buildings	51	1402670968	NYC BigApps
55	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, cohort year, cohort category, demographic, total cohort num, total grads num, total grads pct of cohort, total regents num, total regents pct of cohort, total regents pct of grads, advanced regents num, advanced regents pct of cohort, advanced regents pct of grads, regents w/o advanced num, regents w/o advanced pct of cohort, regents w/o advanced pct of grads, local num, local pct of cohort, local pct of grads, still enrolled num, still enrolled pct of cohort, dropped out num, dropped out pct of cohort"	38ib-pjw5	2005 - 2011 graduation outcomes - citywide - ell	46	1361413914	Education
56	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, service, hhc options reduced fee level, fee"	3955-c36a	new york city health and hospitals corporation (hhc): hhc options (common fees)	42	1317407439	Health
57	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, publication date, fiscal year, agency number, agency name, unit appropriation number, unit appropriation name, personal service/other than personal service indicator, total financial plan amount, total adopted budget amount, total current budget amount, federal funds financial plan amount, federal funds adopted budget amount, federal funds current budget amount, state  funds financial plan amount, state funds adopted budget amount, state funds current budget amount , inter-fund agreement funds financial plan amount, inter-fund agreement funds adopted budget amount, inter-fund agreement funds current budget amount , intra-city sales funds financial plan amount, intra-city sales funds adopted budget amount, intra-city sales funds current budget amount , other categorical funds financial plan amount, other categorical funds adopted budget amount, other categorical funds current budget amount , community development funds financial plan amount , community development funds adopted budget amount , community development funds current budget amount , city funds financial plan amount, city funds adopted budget amount, city funds current budget amount"	39g5-gbp3	expense budget funding - all source	3769	1462373128	City Government
58	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, year, type of service, units of service, residents"	39pe-uzy3	directory of nycha norc program core services	6	1360785079	Housing & Development
59	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, contact id, city, state, postal code, council member, community board, case id, case type, sub-types, case subject, case start date, case end date, case status"	39qw-754y	constituent services	1274	1514319216	City Government
60	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, region, calendar year, passthrough count"	3av7-txd8	dop adult supervision passthrough by calendar year	60	1403023542	City Government
61	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, gender, 2005 number, 2005 percent of total, 2006 number, 2006 percent of total, 2007 number, 2007 percent of total, 2008 number, 2008 percent of total, 2009 number, 2009 percent of total, 5 yr number, 5 yr percent of subtotal"	3bpc-wa5v	gender of alleged victims compared to new york city demographics 2005 - 2009	5	1317312997	Social Services
62	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, manhattan ü cooperatives comparable properties ü boro-block-lot, manhattan ü cooperatives comparable properties ü address, borough, postcode, latitude, longitude, community board, council district , census tract, bin, bbl, nta, manhattan ü cooperatives comparable properties ü neighborhood, manhattan ü cooperatives comparable properties ü building classification, manhattan ü cooperatives comparable properties ü total units, manhattan ü cooperatives comparable properties ü year built, manhattan ü cooperatives comparable properties ü gross sqft, manhattan ü cooperatives comparable properties ü est. gross income, manhattan ü cooperatives comparable properties ü gross income per sqft, manhattan ü cooperatives comparable properties ü full market value, manhattan ü cooperatives comparable properties ü market value per sqft, comparable rental ü 1 üboro-block-lot, comparable rental ü 1 üaddress, comparable rental ü 1 üneighborhood, comparable rental ü 1 übuilding classification, comparable rental ü 1 ütotal units, comparable re ¨¹ 1 ¨¹total units, comparable rental ¨¹ 1 ¨¹year built, comparable rental ¨¹ 1 ¨¹gross sqft, comparable rental ¨¹ 1 ¨¹est. gross income, comparable rental ¨¹ 1 ¨¹gross income per sqft, comparable rental ¨¹ 1 ¨¹full market value, comparable rental ¨¹ 1 ¨¹market value per sqft, comparable rental ¨¹ 1 ¨¹dist. from coop in miles, comparable rental ¨¹ 2 ¨¹boro-block-lot, comparable rental ¨¹ 2 ¨¹address, comparable rental ¨¹ 2 ¨¹neighborhood, comparable rental ¨¹ 2 ¨¹building classification, comparable rental ¨¹ 2 ¨¹total units, comparable rental ¨¹ 2 ¨¹year built, comparable rental ¨¹ 2 ¨¹gross sqft, comparable rental ¨¹ 2 ¨¹est. gross income, comparable rental ¨¹ 2 ¨¹gross income per sqft, comparable rental ¨¹ 2 ¨¹full market value, comparable rental ¨¹ 2 ¨¹market value per sqft, comparable rental ¨¹ 2 ¨¹dist. from coop in miles"	3btx-p4av	dof: cooperative comparable rental income ¨¹ manhattan¨¹ fy 2008/2009	2631	1317765168	Housing & Development
63	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, borough, district, bldg\ni.d., building name, bldg\nenroll, bldg capacity, bldg over/under, bldg utilization, org id, organization name, org\nenroll, org capacity, org over/under, org utilization, no. of spec rooms used, inclusionary"	3cn8-i54i	enrollment capacity and utilization reports district 75 special ed.	72	1366298345	Education
64	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, borough, fiscal year (ending in june), passthrough count"	3f5y-5web	dop juvenile supervision passthrough by fiscal year	55	1403023652	City Government
65	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, community board, chair, district manager, board meeting/cabinet meeting, address 1, address 2, phone number, postcode, borough, latitude, longitude, council district, census tract, bin, bbl, nta, location 1"	3gkd-ddzn	community board leadership	12	1394127648	City Government
66	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, school name, grade, year, category, number tested, mean scale score, level1_n, level1_%, level2_n, level2_%, level3_n, level3_%, level4_n, level4_%, level3+4_n, level3+4_%"	3kav-a6u5	2013-2017 charter school ela results - all	3591	1506349325	Education
67	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, category, number tested, mean scale score, level 1 #, level 1 %, level 2 #, level 2 %, level 3 #, level 3 %, level 4 #, level 4 %, level 3+4 #, level 3+4 %"	3kcn-nsb5	2006-2011 english language arts (ela) test results by grade - citywide - by race-ethnicity	168	1317841294	Education
68	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, district, bldg\ni.d., building name, bldg\nenroll, bldg adjusted capacity\n(historical), bldg over/under\nhistorical, bldg utilization\n(historical), bldg capacity\n(target), bldg over/under\n(target), bldg utilization\n(target), org\nid, organization name, org\nenroll, org adjusted capacity\n(historical), org over/under\n(historical), org utilization\n(historical), org adjusted capacity\n(target), org over under\n(target), org utilization\n(target), no. of spec rooms used, inclusionary"	3mim-bd27	enrollment capacity and utilization reports regular hs	654	1366298345	Education
